dim,size,total MST weight,avg edge weight,max edge weight,MST size,duration (s)
0,128,1.07948,0.00849985,0.0343233,127,0.119831085
2,128,7.94246,0.0625391,0.176372,127,0.020467281
3,128,17.846,0.14052,0.2841,127,0.022104025
4,128,28.4748,0.224211,0.426174,127,0.021543026
0,256,1.21344,0.0047586,0.0213348,255,0.033639193
2,256,11.0343,0.0432716,0.112729,255,0.065783024
3,256,28.1869,0.110537,0.275559,255,0.068375111
4,256,46.8494,0.183723,0.321192,255,0.072145939
0,512,1.14365,0.00223807,0.0129295,511,0.126778841
2,512,15.0893,0.0295289,0.0757382,511,0.256025076
3,512,44.1059,0.086313,0.234694,511,0.267368078
4,512,78.3646,0.153355,0.319203,511,0.276787281
0,1024,1.22977,0.00120212,0.0077834,1023,0.545783997
2,1024,20.7344,0.0202682,0.0499957,1023,1.051756144
3,1024,67.9566,0.0664287,0.131111,1023,1.19367981
4,1024,130.534,0.127599,0.259406,1023,1.12451601
0,2048,1.17983,0.000576369,0.0040075,2047,2.326354027
2,2048,29.7391,0.0145281,0.0403104,2047,4.378036976
3,2048,107.755,0.0526405,0.115457,2047,4.624213934
4,2048,218.268,0.106628,0.22132,2047,4.743270874
0,4096,1.20566,0.000294423,0.00216739,4095,10.05378079
2,4096,41.6575,0.0101728,0.0322365,4095,18.01269293
3,4096,171.028,0.041765,0.0920896,4095,19.24509382
4,4096,360.895,0.0881307,0.172499,4095,19.57336926
0,8192,1.21692,0.000148567,0.00120578,8191,44.01278996
2,8192,59.0161,0.007205,0.0207256,8191,74.62131405
3,8192,267.046,0.0326024,0.0716293,8191,76.90398407
4,8192,606.056,0.0739904,0.147107,8191,83.364012
0,32768,1.20543,3.68E-05,0.000316722,32767,843.2200792
2,32768,117.491,0.00358564,0.0142673,32767,1736.147432
3,32768,669.507,0.0204324,0.048483,32767,1713.2568
4,32768,1685.14,0.0514279,0.112429,32767,1892.363764
0,16384,1.20552,7.36E-05,0.000655773,16383,161.431499
2,16384,83.1522,0.00507552,0.016317,16383,275.8094053
3,16384,423.313,0.0258385,0.0623457,16383,285.8931038
4,16384,1004.64,0.0613223,0.125719,16383,296.1677301
0,65536,1.01421966,1.5476E-05,0.000163121,65535,1781.305441
2,65536,156.1060739,0.002382026,0.008361895,65535,3714.532367
3,65536,1029.414576,0.01570786,0.0400072,65535,2984.836411
4,65536,2778.127979,0.042391516,0.088683649,65535,1997.058331
0,131072,1.2034,9.18E-06,8.89E-05,131071,1081.060853
2,131072,234.775,0.00179121,0.00598784,131071,3339.483014
3,131072,1678.03,0.0128025,0.0319968,131071,3358.878567
4,131072,4742.06,0.0361793,0.0783044,131071,3899.233099
